"Name","Dates associated with name","Type of name","Role","Other names","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Title","Variant titles","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610373","Monograph","Language material ; Text","Volume","GB99Y4736","","9780436203701","I have tried to tell the truth, 1943-1944","","","","England","London","Secker & Warburg","1999","","576 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610374","Monograph","Language material ; Text","Volume","GB99Y4735","","9780436203725","I belong to the left, 1945","","","","England","London","Secker & Warburg","1999","","544 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610376","Monograph","Language material ; Text","Volume","GB99Y4734","","9780436203749","Smothered under journalism, 1946","","","","England","London","Secker & Warburg","1999","","592 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610377","Monograph","Language material ; Text","Volume","GB99Y4733","","9780436203763","It is what I think, 1947-1948","","","","England","London","Secker & Warburg","1999","","576 pages, 24 cm","828.91209","m00/34756","Orwell, George, 1903-1950--Correspondence","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610378","Monograph","Language material ; Text","Volume","GB99Y4732","","9780436203787","Our job is to make life worth living, 1949-1950","","","","England","London","Secker & Warburg","1999","","528 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610379","Monograph","Language material ; Text","Volume","GB98Y6427","","9780436203794","The complete works of George Orwell","","","","England","London","Secker & Warburg","1998","","11 volumes (various pagings), 24 cm","828.91208","","","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610381","Monograph","Language material ; Text","Volume","GB98Y6426","","9780436204067","The complete works of George Orwell","","","","England","London","Secker & Warburg","1998","","9 volumes (various pagings), 24 cm","828.91208","","","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610418","Monograph","Language material ; Text","Volume","GB99Y6810","","9780436231278","Coming up for air","","","","England","London","Secker & Warburg","1999","","256 pages, 24 cm","823.912","","","Humour or satire","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610419","Monograph","Language material ; Text","Volume","GB99Y6807","","9780436231339","Burmese days","","","","England","London","Secker & Warburg","1999","","3336, map, 20 cm","823.912","","Burma--History--1824-1948--Fiction","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610420","Monograph","Language material ; Text","Volume","GB99Y6806","","9780436231353","Animal farm","","","","England","London","Secker & Warburg","1999","","208 pages","823.912","","","Humour or satire","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011610427","Monograph","Language material ; Text","Volume","GB99Y4729","","9780436350207","A kind of compulsion, 1903-1936","","","","England","London","Secker & Warburg","1999","","672 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011934992","Monograph","Language material ; Text","Volume","GBA1Z1812","","9780141185163","Orwell in Spain : the full text of Homage to Catalonia, with associated articles, reviews and letters from The complete works of George Orwell","Homage to Catalonia ; Prose works. Selections","Penguin classics","","England","London","Penguin","2001","","xx, 393 pages, 20 cm","946.081092","YC.2001.a.7164 ; m06/.40237","Spain--Politics and government--1931-1939 ; Orwell, George, 1903-1950 ; Spain--History--Civil War, 1936-1939--Personal narratives, British","Personal narrative","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011934993","Monograph","Language material ; Text","Volume","GBA1Z1811","","9780141185170","Orwell's England : the Road to Wigan Pier in the context of essays, reviews, letters and poems selected from the Complete works of George Orwell","Works. Selections","Penguin classics","","England","London","Penguin","2001","","xxii, 432 pages, 32 pages of plates, illustrations, 20 cm","942.082","YC.2001.a.8171 ; m02/16891","National characteristics, English ; Great Britain--Politics and government--20th century ; England--Social conditions--20th century","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","011934994","Monograph","Language material ; Text","Volume","GBA1Z1810","","9780141185187","Orwell and politics : Animal farm in the context of essays, reviews and letters selected from the complete works of George Orwell","Animal farm ; Works. Selections","Penguin classics","","England","London","Penguin","2001","","xx, 537 pages, 20 cm","823.912","YC.2001.a.7591 ; m02/23788","Orwell, George, 1903-1950--Political and social views","","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","013432493","Monograph","Language material ; Text","Volume","GBA634676","","9781857252149","The lost Orwell : being a supplement to The complete works of George Orwell","Works. Selections, 2006","","","England","London","Timewell","2006","","x, 258 pages, 8 pages of plates, illustrations, 24 cm","828.91209","YC.2007.a.15868","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Contains letters and documents discovered since the publication of The complete works of George Orwell in 1998 ; Includes index",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","015271504","Monograph","Language material ; Text","Volume","GBA954756","","9781846553295","Diaries","","","","England","London","Harvill Secker","2009","","viii, 520 pages, illustrations, 24 cm","828.91203","YC.2010.a.14054","Orwell, George, 1903-1950--Diaries","Diary","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","015448920","Monograph","Language material ; Text","Volume","GBA9C5900","","9781846553554","A life in letters","","","","England","London","Harvill Secker","2010","","xviii, 542 pages, 8 pages of plates, illustrations, portraits, 24 cm","828.91209","YC.2011.a.3493","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","015488995","Monograph","Language material ; Text","Volume","GBB027432","","9780141191546","Diaries","","","","England","London","Penguin","2010","","viii, 531 pages, illustrations, 20 cm","828.91203","YC.2011.a.5361","Authors, English--20th century--Diaries ; Orwell, George, 1903-1950--Diaries","Diary","English","Originally published: London: Harvill Secker, 2009",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","015638437","Monograph","Language material ; Text","Volume","GBB0A3779","","9780141192635","A life in letters","","","","England","London","Penguin","2011","","xviii, 542 pages, 8 pages of plates, illustrations, portraits, 20 cm","828.91209","","Orwell, George, 1903-1950--Correspondence ; Novelists, English--20th century--Correspondence","Correspondence","English","Originally published: London: Harvill Secker, 2010",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Angus, Ian, 1926- [person] ; Davison, Peter, 1926- [person]","007378903","Monograph","Language material ; Text","Volume","GBA063747","","9780436205422","A kind of compulsion, 1903-1936","Works. Selections","","","England","London","Secker & Warburg","2000","Revised and updated edition","lvii, 600 pages, 24 cm","828.91209","YC.2001.a.13186","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes mainly letters and articles ; Originally published: 1998",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007378902","Monograph","Language material ; Text","Volume","GBA0Y3775","","9780436205385","Facing unpleasant facts, 1937-1939","Prose works. Selections","The complete works of George Orwell","11 [The complete works of George Orwell]","England","London","Secker & Warburg","2000","Revised and updated edition","xxx, 483 pages, illustrations, 24 cm","828.91209","YC.2001.a.6808","Spain--History--Civil War, 1936-1939--Participation, Foreign ; Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence ; Spain--History--Civil War, 1936-1939--Personal narratives, British","Correspondence","English","Includes index ; Previous edition: 1998",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007379407","Monograph","Language material ; Text","Volume","GBA0V4905","","9780436404054","All propaganda is lies, 1941-1942","Prose works. Selections","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","2001","Revised and updated edition","xxxix, 544 pages, 24 cm","828.91209","YC.2001.a.4723","World War, 1939-1945--Great Britain ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes index ; Previous edition: 1998",""
"Davison, Peter","1926-","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007379408","Monograph","Language material ; Text","Volume","GBA124768","","9780436404078","Keeping our little corner clean : 1942-1943","","","","England","London","Secker & Warburg","2001","Revised and updated edition","xxxvii, 380 pages, 24 cm","828.91209","YC.2001.a.17887","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Correspondence, broadcasts and other writings ; Previous edition: 1998",""
"Davison, Peter","1926-","person","compiler ; editor","Davison, Peter, 1926- [person] ; Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, compiler ; editor [person]","018657037","Monograph","Language material ; Still image ; Text","Volume","GBB8G0488","","","A life in letter and diaries","Complete works of George Orwell ; Lost Orwell ; Works. Selections","","","England","London","Folio Society","2017","Folio Society edition","xv, 487 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 25 cm","823.912","YKL.2018.a.16650","Orwell, George, 1903-1950--Correspondence ; Orwell, George, 1903-1950--Diaries","Correspondence ; Diary","English","'The contents of this edition have been selected from the Complete works of George Orwell and its supplementary volume The lost Orwell, edited by Peter Davison, published in Britain in 1998 and in 2006 by Secker & Warburg'--Title page verso ; In slip case ; edition statement from page xv",""
"Davison, Peter","1926-","person","editor","Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, editor [person]","016886048","Monograph","Language material ; Text","Volume","GBB4A6965","","9781846558993","Seeing things as they are : selected journalism and other writings","Works. Selections","","","England","London","Harvill Secker","2014","","485 pages, black and white illustrations, 24 cm","828.91209","YC.2015.a.9843","Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"Davison, Peter","1926-","person","editor","Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, editor [person]","018507896","Monograph","Language material ; Text","Online resource","GBB7G9396","","9780241281956","A life in letters","","Modern classics","","England","London","Penguin","2011","","1 online resource, illustrations","828.91209","ELD.DS.182375","LITERARY COLLECTIONS / Letters ; Novelists, English--20th century--Correspondence ; Autobiography: Literary ; Engelska författare x1900-talet--brev ; Orwell, George, 1903-1950--brev ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Originally published: London: Harvill Secker, 2010",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455373","Monograph","Language material ; Text","Volume","","","9780436203770","A kind of compulsion, 1903-1936","","The complete works of George Orwell","volume 10 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","lvii, 600 pages, illustrations, facsimiles, 24 cm","823.912","98/28230","Orwell, George, 1903-1950","","English","",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455374","Monograph","Language material ; Text","Volume","","","","Facing unpleasant facts, 1937-1939","","The complete works of George Orwell","volume 11 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxx, 483 pages, 24 cm","823.912","98/28231","Orwell, George, 1903-1950","","English","",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455375","Monograph","Language material ; Text","Volume","","","9780436203626 ; 9780436203770","A patriot after all, 1940-1941","","The complete works of George Orwell","volume 12 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxi, 575 pages, 24 cm","823.912","98/28232","Orwell, George, 1903-1950--Miscellanea","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1998. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455376","Monograph","Language material ; Text","Volume","","","9780436203640 ; 9780436203770","All propaganda is lies, 1941-1942","","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxix, 544 pages, 24 cm","823.912","98/28233","Orwell, George, 1903-1950","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","006455378","Monograph","Language material ; Text","Volume","","","9780436203664 ; 9780436203770","Keeping our little corner clean, 1941-1942","","The complete works of George Orwell","volume 14 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxvii, 380 pages, 24 cm","","98/28234","Orwell, George, 1903-1950","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","011610400","Monograph","Language material ; Text","Volume","GBA0Y3774","","9780436205408","A patriot after all, 1940-1941","","","","England","London","Secker & Warburg","2000","","xxxi, 575 pages, 24 cm","828.91209","YC.2005.a.580","Orwell, George, 1903-1950--Correspondence","Correspondence","English","Originally published: 1998",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Angus, Ian, 1926- [person] ; Davison, Peter, 1926- [person]","007378903","Monograph","Language material ; Text","Volume","GBA063747","","9780436205422","A kind of compulsion, 1903-1936","Works. Selections","","","England","London","Secker & Warburg","2000","Revised and updated edition","lvii, 600 pages, 24 cm","828.91209","YC.2001.a.13186","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes mainly letters and articles ; Originally published: 1998",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007378902","Monograph","Language material ; Text","Volume","GBA0Y3775","","9780436205385","Facing unpleasant facts, 1937-1939","Prose works. Selections","The complete works of George Orwell","11 [The complete works of George Orwell]","England","London","Secker & Warburg","2000","Revised and updated edition","xxx, 483 pages, illustrations, 24 cm","828.91209","YC.2001.a.6808","Spain--History--Civil War, 1936-1939--Participation, Foreign ; Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence ; Spain--History--Civil War, 1936-1939--Personal narratives, British","Correspondence","English","Includes index ; Previous edition: 1998",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007379407","Monograph","Language material ; Text","Volume","GBA0V4905","","9780436404054","All propaganda is lies, 1941-1942","Prose works. Selections","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","2001","Revised and updated edition","xxxix, 544 pages, 24 cm","828.91209","YC.2001.a.4723","World War, 1939-1945--Great Britain ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes index ; Previous edition: 1998",""
"Davison, Sheila","","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","007379408","Monograph","Language material ; Text","Volume","GBA124768","","9780436404078","Keeping our little corner clean : 1942-1943","","","","England","London","Secker & Warburg","2001","Revised and updated edition","xxxvii, 380 pages, 24 cm","828.91209","YC.2001.a.17887","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Correspondence, broadcasts and other writings ; Previous edition: 1998",""
"Dawson, Alasdair","","person","","Boyle, Patsy [person] ; Dawson, Alasdair [person]","011186725","Monograph","Language material ; Text","Volume","GB8502011","","","Time in his life : George Orwell, Barnhill, Isle of Jura","","","","Scotland","Barnhill, Isle of Arran ; Isle of Arran","Boyle","1984","","23 pages, illustrations, 1 map, 21 cm","823.912","X.958/25951","Fiction in English--Orwell, George--1903-1950--Biographies ; Authors, English--20th century--Biography ; Orwell, George, 1903-1950","","English","",""
"De Lange, Adriaan M.","","person","","De Lange, Adriaan M. [person]","011368775","Monograph","Language material ; Text","Volume","GB9348280","","9780773495418","The influence of political bias in selected essays of George Orwell","Influence of political bias in the essays of George Orwell","","","Wales","Lampeter ; Lewiston","Edwin Mellen","1992","","xv, 141 pages, 24 cm","824.912","92/16645 ; YC.1993.b.8350","English prose--Essays ; Great Britain--Politics and government--20th century ; Orwell, George, 1903-1950--Political and social views ; Politics and literature--Great Britain--History--20th century","","English","Spine title: The influence of political bias in the essays of George Orwell",""
"Dean, Michael","1949-","person","","Dean, Michael, 1949- [person] ; Orwell, George, 1903-1950 [person]","010702712","Monograph","Language material ; Text","Volume","GBA363227","","9780582777316","1984","Nineteen eighty-four","Penguin readers. Level 4","","England","Harlow","Pearson","2003","","vii, 71 pages, illustrations, 20 cm","428.6","YK.2003.a.19247","Totalitarianism--Fiction","Dystopia ; Fiction ; Reader","English","",""
"Decker, James M.","1967-","person","","Decker, James M., 1967- [person]","010343632","Monograph","Language material ; Text","Volume","GBA2U6890","","9780333775370 ; 9780333775387","Ideology","","Transitions","","England","Basingstoke","Palgrave Macmillan","2004","","ix, 195 pages, 23 cm","813.50938","YC.2005.a.3409 ; m03/36254","Faulkner, William, 1897-1962 ; Literature--History and criticism--Theory, etc ; Ideology in literature ; Subjectivity in literature ; Literature and society ; Orwell, George, 1903-1950 ; Politics and literature ; Morrison, Toni ; American fiction--20th century--History and criticism--Theory, etc","","English","",""
"Decker, James M.","1967-","person","","Decker, James M., 1967- [person]","017742994","Monograph","Language material ; Text","Online resource","GBB740239","","9781137143600","Ideology","George Orwell's 1984 and Political Ideology -- ; Ideology and Institutional Authority -- ; Ideology and the Paradox of Subjectivity -- ; Introduction to 'Ideology' -- ; Political Ideology -- ; The 'Post-Ideological' Era? ; Toni Morrison's Sula and Subjective Ideology -- ; William Faulkner's 'Barn Burning' and Institutional Ideology --","Transitions","","England ; United Kingdom","Basingstoke","Palgrave Macmillan","2003","","1 online resource (208 pages)","813.50938","ELD.DS.48372","Faulkner, William, 1897-1962 ; Literature--History and criticism--Theory, etc ; Ideology in literature ; Subjectivity in literature ; Literature and society ; Orwell, George, 1903-1950 ; Politics and literature ; Letterkunde ; Morrison, Toni ; Ideologie ; History of Western philosophy ; American fiction--20th century--History and criticism--Theory, etc","","English","",""
"Deidda, Angelo","1953-","person","","Bertinetti, Roberto, 1955- [person] ; Deidda, Angelo, 1953- [person] ; Domenichelli, Mario [person]","009306668","Monograph","Language material ; Text","Volume","","","","L'infondazione di Babele : l'antiutopia","","Lavoro filosofico","17 [Lavoro filosofico]","Italy","Milano","F. Angeli","1983","","164 pages, 22 cm","823.9109372","YA.1989.a.16005","Huxley, Aldous, 1894-1963 ; Dystopias in literature ; Utopias in literature ; English fiction--20th century--History and criticism ; Future in literature ; Orwell, George, 1903-1950","","Italian","",""
"Dekeyser, Miel","","person","","Dekeyser, Miel [person]","012075514","Monograph","Language material ; Text","Volume","","","9789020911633","1984 : krijgen Orwell en Huxley gelijk?","","","","Belgium","Tielt","Lannoo","1984","","264 pages","","X.950/36138","Huxley, Aldous, 1894-1963 ; Fiction in English--Huxley, Aldous--1894-1963 ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","Dutch","",""
"Denjean, Albert","","person","","Denjean, Albert [person]","009991600","Monograph","Language material ; Text","Volume","","","","Approches sociocritique et narratologique du roman anglo-saxon (de A. Bennett à W. Golding)","","Cahiers de l'Université de Perpignan","number 15 [Cahiers de l'Université de Perpignan]","France","Perpignan","Presses de l'Université de Perpignan","1993","","172 pages","","YA.1996.a.3660","Authors, English--20th century--History and criticism ; Golding, William, 1911-1993 ; Bennett, Arnold, 1867-1931 ; Orwell, George, 1903-1950","","French","",""
"Devroey, Jean-Pierre","","person","","Devroey, Jean-Pierre [person]","010787037","Monograph","Language material ; Text","Volume","","","9782800408620","L'âme de cristal : George Orwell au présent","","","","Belgium","Bruxelles","Université de Bruxelles","1985","","244 pages","","YA.1988.a.1196","Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","","French","",""
"Dickens, Charles","1812-1870","person","","Miller, Henry, 1891-1980 [person] ; Orwell, George, 1903-1950 [person] ; Dickens, Charles, 1812-1870 [person]","002722703","Monograph","Language material ; Text","Volume","","","","Inside the Whale, and other essays. (Charles Dickens.-Boys' Weeklies.-Inside the Whale [An appreciation of Henry Miller the novelist.])","General Appendix","","","England","London","Victor Gollancz","1940","","188 pages (8°)","","11862.bbb.38","","","","",""
"Dickens, Charles","1812-1870","person","","Orwell, George, 1903-1950 [person] ; Dickens, Charles, 1812-1870 [person] ; Dalí, Salvador, 1904-1989 [person]","002722689","Monograph","Language material ; Text","Volume","","","","Dickens, Dali and others","General Appendix","","","United States of America","New York","Harcourt, Bruce & World","1963","","243 pages (8°)","","X.908/11581","","","","",""
