"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"A George Orwell companion : a guide to the novels, documentaries and essays","","010051303","Monograph","Language material ; Text","Volume","GB8327033","","9780333286685","Hammond, J. R. (John R.)","1933-","person","","Hammond, J. R. (John R.), 1933- [person]","","","England","London","Macmillan","1982","","xii, 278 pages, 9 pages of plates, illustrations, portraits, 23 cm","823.912","X.950/21858","Orwell, George, 1903-1950--Criticism and interpretation ; Fiction in English--Orwell, George--1903-1950","","English","bibliography: p266-274. _ Includes index",""
"A Rebel's Progress --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; Anatomy of Reputation -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"A Study of George Orwell, the Man and his Works","","001714933","Monograph","Language material ; Text","Volume","","","","Hollis, Maurice Christopher","","person","","Orwell, George, 1903-1950 [person] ; Hollis, Maurice Christopher [person]","","","England","London","Hollis & Carter","1956","","viii, 212 pages (8°)","","10864.g.35","","","","",""
"A clergyman's daughter","","006455366","Monograph","Language material ; Text","Volume","","","9780436231292","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","The complete works of George Orwell","volume 3 [The complete works of George Orwell]","England","London","Secker & Warburg","1997","","306 pages, 24 cm","823.912","98/28223","","","English","'In addition to restoring passages that can be reconstructed, this new edition locates all the sections modified for fear of legal action in the 1930's' -- Dustwrapper ; First published in England in 1935 by Victor Gollancz Limited. Uniform edition first published in England in 1960 by Martin Secker & Warburg Limited. reprinted 1965, 1973, 1979. Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited. ' -- t. p. verso",""
"A clergyman's daughter","","007379315","Monograph","Language material ; Text","Volume","GB8608914","","9780436350252","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","The Complete works of George Orwell","volume 3 [The Complete works of George Orwell]","England","London","Secker & Warburg","1986","Complete edition","320 pages, 24 cm","823.912","Nov.1986/508","Fiction in English--1900-1945--Texts","","English","Author: George Orwell",""
"A clergyman's daughter","","009535904","Monograph","Language material ; Text","Volume","GB99Y6809","","9780436231292","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","Complete works of George Orwell","volume 3 [Complete works of George Orwell]","England","London","Secker & Warburg","1999","","320 pages, 24 cm","823.912","823.912","","","English","",""
"A clergyman's daughter","","011304553","Monograph","Language material ; Text","Volume","GB7522277","","9780140018776","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","Harmondsworth","Penguin","1975","","263 pages, 18 cm","823.91","H.75/589","Fiction in English ; Fiction in English--1900---Texts","","English","Originally published: London : Gollancz, 1935",""
"A clergyman's daughter","","011934975","Monograph","Language material ; Text","Volume","GBA0X7678","","9780141184654","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Penguin classics","","England","London","Penguin","2000","","vii, 296 pages, 20 cm","823.912","H.2001/1857","Poverty--England--Suffolk--Fiction ; England--Social life and conditions--20th century--Fiction ; Amnesia--Fiction ; Single women--England--London--Fiction ; Clergy--England--Suffolk--Fiction ; Fathers and daughters--England--Suffolk--Fiction","Fiction","English","",""
"A clergyman's daughter","","018529567","Monograph","Language material ; Text","Online resource","GBB7I3102","","9780141905754","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Penguin classics","","England","London","Penguin","2000","","1 online resource (vii, 296 pages)","823.912","ELD.DS.196400","Poverty--England--Suffolk--Fiction ; England--Social life and conditions--20th century--Fiction ; England--London ; Amnesia ; Clergy ; Amnesia--Fiction ; Fathers and daughters ; Single women--England--London--Fiction ; Clergy--England--Suffolk--Fiction ; Fathers and daughters--England--Suffolk--Fiction","Fiction","English","",""
"A clergyman's daughter","","018892035","Monograph","Language material ; Text","Volume","GBB8A2596","","9781787301214","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","The complete works of George Orwell","3 [The complete works of George Orwell]","England","London","Harvill Secker","2018","","1 volume","823.912","","","","English","",""
"A clergyman's daughter. Hungarian","A lelkész lánya","013137793","Monograph","Language material ; Text","Volume","","","9789639303911","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Pásztor, Péter, 1960- [person]","","","Hungary","Budapest","Cartaphilus Könyvkiadó ; Merhavia","2004","","362 pages, 20 cm","","YF.2005.a.32201","English fiction--20th century--Translations into Hungarian","Translations into Hungarian","Hungarian","",""
"A collection of essays","","002722739","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Doubleday Anchor books","number A29 [Doubleday Anchor books]","","Garden City, New York","Doubleday","1954","","320 pages, 18 cm","","X.908/18577","","","","",""
"A collection of pamphlets, mainly political, formed by George Orwell","","000744420","Monograph","Language material ; Text","Volume","","","","","","","","Orwell, George, 1903-1950 [person]","","","","","","1915","","(4° and 8°)","","1899.ss.1-21 ; 1899.ss.23-26 ; 1899.ss.28-47 ; 1899.ss.48 ; 1899.ss.49","","","English","Detailed inventory on British Library webpage at: http://www.bl.uk/reshelp/findhelpsubject/literature/authors/orwellgeorge/georgeorwell.html. ORDERS RESTRICTED TO ONE SUB-GROUP AT A TIME",""
"A collection of press-cuttings relating to George Orwell","","004044044","Monograph","Language material ; Text","Volume","","","","","","","","Orwell, George, 1903-1950 [person]","","","","","","1945","","(folio)","","1899.ss.45","","","","Associated manuscript and typescript material has been transferred to the manuscript Collections",""
"A critical study of Orwell's Animal farm, for Cambridge Oversea School Certificate","Animal farm","004042795","Monograph","Language material ; Text","Volume","","","","Chai, Hon-chan","","person","","Chai, Hon-chan [person] ; Orwell, George, 1903-1950 [person]","","","","Kuala Lumpur","Raybooks ; Rayirath","1963","","75 pages, 19 cm","","X.909/22549","","","","",""
"A do-it-yourself dystopia : the Americanization of Big Brother","","011724279","Monograph","Language material ; Text","Volume","","","9780761822714","Carter, Steven","1943-","person","","Carter, Steven, 1943- [person]","","","United States of America","Lanham, Maryland","America ; University Press","2002","Revised edition","","813.509372","m03/25223","Dystopias in literature ; American fiction--English influences ; American fiction--20th century--History and criticism ; United States--Civilization--20th century ; Orwell, George, 1903-1950 ; Popular culture--United States--History--20th century ; Orwell, George, 1903-1950--Influence","","English","",""
"A fikusz és az Antikrisztus","Keep the aspidistra flying. Hungarian","013266898","Monograph","Language material ; Text","Volume","","","9789639303997","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Nóvé, Béla [person]","","","Hungary","Budapest","Cartaphilus","2005","","334 pages, 20 cm","","YF.2006.a.13923","English fiction--20th century--Translation into Hungarian","","Hungarian","Az utószót Nóvé Béla írta",""
"A guide to Animal farm","","011314491","Monograph","Language material ; Text","Volume","GB9857058","","9780340664018","McGregor, Iona","","person","","Buzan, Tony [person] ; McGregor, Iona [person]","Teach yourself literature guides","","England","London","Hodder & Stoughton","1998","","x, 85 pages, illustrations, 20 cm","823.912","YK.1999.a.5728","Orwell, George, 1903-1950","","English","Includes index",""
"A hanging --","Politics and the English language ; The lion and the unicorn -- ; Why I write","018526792","Monograph","Language material ; Text","Online resource","GBB7I1303","","9780141980607","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Great ideas","20 [Great ideas]","England","London","Penguin","2004","","1 online resource (119 pages)","824.912","ELD.DS.193729","Orwell, George, 1903-1950--Political and social views ; LANGUAGE ARTS & DISCIPLINES / Composition & Creative Writing","","English","",""
"A kind of compulsion : 1903-1936","Works. Selections","017080885","Monograph","Language material ; Text","Volume","GBB523891","","9781846559457","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Secker","2015","","1 volume, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"A kind of compulsion, 1903-1936","","006455373","Monograph","Language material ; Text","Volume","","","9780436203770","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","The complete works of George Orwell","volume 10 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","lvii, 600 pages, illustrations, facsimiles, 24 cm","823.912","98/28230","Orwell, George, 1903-1950","","English","",""
"A kind of compulsion, 1903-1936","","011610427","Monograph","Language material ; Text","Volume","GB99Y4729","","9780436350207","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","1999","","672 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"A kind of compulsion, 1903-1936","Works. Selections","007378903","Monograph","Language material ; Text","Volume","GBA063747","","9780436205422","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Angus, Ian, 1926- [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","2000","Revised and updated edition","lvii, 600 pages, 24 cm","828.91209","YC.2001.a.13186","Authors, English--20th century--Correspondence ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes mainly letters and articles ; Originally published: 1998",""
"A lelkész lánya","A clergyman's daughter. Hungarian","013137793","Monograph","Language material ; Text","Volume","","","9789639303911","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Pásztor, Péter, 1960- [person]","","","Hungary","Budapest","Cartaphilus Könyvkiadó ; Merhavia","2004","","362 pages, 20 cm","","YF.2005.a.32201","English fiction--20th century--Translations into Hungarian","Translations into Hungarian","Hungarian","",""
"A life in letter and diaries","Complete works of George Orwell ; Lost Orwell ; Works. Selections","018657037","Monograph","Language material ; Still image ; Text","Volume","GBB8G0488","","","Orwell, George","1903-1950","person","author","Davison, Peter, 1926- [person] ; Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, compiler ; editor [person]","","","England","London","Folio Society","2017","Folio Society edition","xv, 487 pages, 16 unnumbered pages of plates, illustrations (black and white and colour), 25 cm","823.912","YKL.2018.a.16650","Orwell, George, 1903-1950--Correspondence ; Orwell, George, 1903-1950--Diaries","Correspondence ; Diary","English","'The contents of this edition have been selected from the Complete works of George Orwell and its supplementary volume The lost Orwell, edited by Peter Davison, published in Britain in 1998 and in 2006 by Secker & Warburg'--Title page verso ; In slip case ; edition statement from page xv",""
"A life in letters","","015448920","Monograph","Language material ; Text","Volume","GBA9C5900","","9781846553554","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Harvill Secker","2010","","xviii, 542 pages, 8 pages of plates, illustrations, portraits, 24 cm","828.91209","YC.2011.a.3493","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"A life in letters","","015638437","Monograph","Language material ; Text","Volume","GBB0A3779","","9780141192635","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Penguin","2011","","xviii, 542 pages, 8 pages of plates, illustrations, portraits, 20 cm","828.91209","","Orwell, George, 1903-1950--Correspondence ; Novelists, English--20th century--Correspondence","Correspondence","English","Originally published: London: Harvill Secker, 2010",""
"A life in letters","","018507896","Monograph","Language material ; Text","Online resource","GBB7G9396","","9780241281956","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person] ; Davison, Peter, 1926-, editor [person]","Modern classics","","England","London","Penguin","2011","","1 online resource, illustrations","828.91209","ELD.DS.182375","LITERARY COLLECTIONS / Letters ; Novelists, English--20th century--Correspondence ; Autobiography: Literary ; Engelska författare x1900-talet--brev ; Orwell, George, 1903-1950--brev ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Originally published: London: Harvill Secker, 2010",""
"A literary semiotics approach to the universe of meaning in George Orwell's 1984 narrative","","019202010","Monograph","Language material ; Text","Volume","GBB904617","","9781527520189","Kalelioğlu, Murat","","person","author","Kalelioğlu, Murat, author [person]","","","England","Newcastle upon Tyne","Cambridge Scholars","2019","","1 volume, 21 cm","823.912","","Orwell, George, 1903-1950","","English","",""
"A patriot after all, 1940-1941","","006455375","Monograph","Language material ; Text","Volume","","","9780436203626 ; 9780436203770","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","The complete works of George Orwell","volume 12 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxi, 575 pages, 24 cm","823.912","98/28232","Orwell, George, 1903-1950--Miscellanea","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1998. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"A patriot after all, 1940-1941","","011610369","Monograph","Language material ; Text","Volume","GB99Y4740","","9780436203626","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","1999","","608 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"A patriot after all, 1940-1941","","011610400","Monograph","Language material ; Text","Volume","GBA0Y3774","","9780436205408","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","","","England","London","Secker & Warburg","2000","","xxxi, 575 pages, 24 cm","828.91209","YC.2005.a.580","Orwell, George, 1903-1950--Correspondence","Correspondence","English","Originally published: 1998",""
"A preface to Orwell","","010698728","Monograph","Language material ; Text","Volume","GB8617797","","9780582351936","Wykes, David","","person","","Wykes, David [person]","Preface books","","England","Harlow","Longman","1987","","x, 189 pages, illustrations, 1 map, portraits, 21 cm","823.912","YC.1987.a.5332 ; YK.1989.a.4074","Authors, English--20th century--Biography ; Journalists--Great Britain--Biography ; Fiction in English--Orwell, George--1903-1950 ; Orwell, George, 1903-1950","Biography","English","bibliography: p181-187. Includes index",""
"A reader's guide to George Orwell","","002479017","Monograph","Language material ; Text","Volume","","","9780500140192","Meyers, Jeffrey","","person","","Orwell, George, 1903-1950 [person] ; Meyers, Jeffrey [person]","","","England","London","Thames & Hudson","1975","","192 pages, 21 cm","","X.989/30247","","","","",""
"A reader's guide to George Orwell","","009038808","Monograph","Language material ; Text","Volume","GB7510881","","9780500140192 ; 9780500150146","!!","1939-","person","","!!, 1939- [person]","","","England","London","Thames & Hudson","1975","","192 pages, 21 cm","823.912","","Satire, English--History and criticism--Handbooks, manuals, etc ; Fiction in English--Orwell, George--1903-1950--Critical studies ; Dystopias in literature--Handbooks, manuals, etc ; Orwell, George, 1903-1950--Criticism and interpretation--Handbooks, manuals, etc","","English","bibliography: p.181-185. _ Includes index",""
"A wigani móló","Road to Wigan Pier. Hungarian","014748438","Monograph","Language material ; Text","Volume","","","9789639303355","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","Hungary","Budapest","Cartaphilus","2001","","277 pages, illustrations, 20 cm","","YF.2008.a.39874","Working class--Great Britain ; Socialism ; Unemployment--Great Britain ; Great Britain--Social conditions","","Hungarian","",""
"Abinger harvest. (Reprinted.)","Appendix ; Miscellaneous Publications ; Yale College Series","002632527","Monograph","Language material ; Text","Volume","","","","Yale University","","organisation","","Orwell, George, 1903-1950 [person] ; Huxley, Aldous, 1894-1963 [person] ; Waugh, Evelyn, 1903-1966 [person] ; Forster, E. M. (Edward Morgan), 1879-1970 [person] ; Yale University [organisation]","","","England ; United States of America","London ; New Haven","Yale University Press","1964","","","","Ac.2692.ma/34","","","","",""
"Afscheid van Catalonië","Homage to Catalonia. Dutch","012085816","Monograph","Language material ; Text","Volume","","","9789029532785","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Nuis, Aad [person]","","","Netherlands","Amsterdam","Synopsis","1975","2de druk","204 pages, 20 cm","","X:909/39245","","","Dutch","Dutch edition originally published as 'Saluut an Catalonië', Amsterdam : Arbeiderspers, 1964",""
"Age like this, 1920-1940","The collected essays, journalism, and letters of George Orwell","014508764","Monograph","Language material ; Text","Volume","GBA814035","","9781567921335","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Orwell, Sonia [person] ; Angus, Ian [person]","","","United States of America","Boston, Massachusetts ; Hove","David R. Godine ; Roundhouse","2007","","1 volume","828.91209","","","","English","",""
"Aldous Huxley and George Orwell : a comparative study of satire in their novels","","009525002","Monograph","Language material ; Text","Volume","","","9788120713482","Bhat, Yashoda","1933-","person","","Bhat, Yashoda, 1933- [person]","","","India","New Delhi","Sterling","1991","","172 pages","","YA.1993.a.1264","Huxley, Aldous, 1894-1963 ; Orwell, George, 1903-1950","","English","",""
"All propaganda is lies : 1941-1942","Works. Selections","017080883","Monograph","Language material ; Text","Volume","GBB523889","","9781846559433","Orwell, George","1903-1950","person","author","Orwell, George, 1903-1950, author [person]","","","England","London","Secker","2015","","1 volume, 24 cm","828.91208","","Orwell, George, 1903-1950--Correspondence","Correspondence","English","",""
"All propaganda is lies, 1941-1942","","006455376","Monograph","Language material ; Text","Volume","","","9780436203640 ; 9780436203770","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Angus, Ian [person] ; Davison, Peter, 1926- [person] ; Davison, Sheila [person]","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","1998","","xxxix, 544 pages, 24 cm","823.912","98/28233","Orwell, George, 1903-1950","","English","'First published in England in this complete edition Complete edition, volume 1-9 published in England in 1986-87. reprinted 1997. Complete edition, volume 10-20 published in England in 1998 by Martin Secker & Warburg Limited.' -- t. p. verso",""
"All propaganda is lies, 1941-1942","","011610370","Monograph","Language material ; Text","Volume","GB99Y4739","","9780436203640","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Peter, 1926- [person]","","","England","London","Secker & Warburg","1999","","592 pages, 24 cm","828.91209","","Orwell, George, 1903-1950--Correspondence","","English","",""
"All propaganda is lies, 1941-1942","Prose works. Selections","007379407","Monograph","Language material ; Text","Volume","GBA0V4905","","9780436404054","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Davison, Sheila [person] ; Davison, Peter, 1926- [person] ; Angus, Ian, 1926- [person]","The complete works of George Orwell","volume 13 [The complete works of George Orwell]","England","London","Secker & Warburg","2001","Revised and updated edition","xxxix, 544 pages, 24 cm","828.91209","YC.2001.a.4723","World War, 1939-1945--Great Britain ; Orwell, George, 1903-1950--Correspondence","Correspondence","English","Includes index ; Previous edition: 1998",""
"Anatomii︠a︡ na ili︠u︡zii︠a︡ta : satirichnite romani na Ivlin Uo, Oldŭs Khŭksli i Dzhordzh Oruel","","012525022","Monograph","Language material ; Text","Volume","","","","Khubenova, T︠S︡vetana","1956-","person","","Khubenova, T︠S︡vetana, 1956- [person]","","","Bulgaria","Sofii︠a︡","Univ. izd-vo 'Sv. Kliment Okhridski'","1992","","164 pages, 22 cm","","YA.1993.a.26205","Huxley, Aldous, 1894-1963--Criticism and interpretation ; Orwell, George, 1903-1950--Criticism and interpretation ; Satire, English--History and criticism ; Waugh, Evelyn, 1903-1966--Criticism and interpretation","","Bulgarian","",""
"Anatomy of Reputation --","'A Sexist After All?': The Feminists' Orwell -- ; 'Always Fighting Against Something': George Woodcock and the Anarchists' Orwell -- ; 'An Ex-Socialist': Raymond Williams and the British Marxists' Orwell -- ; 'Enemy of Mankind?': The Soviet Union's Orwell -- ; 'Friend and Prophet': T.R. Fyvel and the Tribune writers' Orwell -- ; 'If Orwell Were Alive Today,' -- ; 'Knight Errant of Social Justice': Orwell as Don Quixote -- ; 'Media Prophet': Orwell on the Telescreen -- ; 'Permanent Outsider' Among Friends: Orwell's Compartmentalized Life -- ; 'St. George, ' The Halfway Saint ; 'The Faces Behind the Page': Images of Orwell -- ; A Critical Perspective -- ; A Rebel's Progress -- ; Approaching Orwell's Reputation: Distinctive Features -- ; Author of the book -- ; Between Literary Figure and Institutional Reader -- ; Critic and Object of Popular Culture -- ; Decency and Democracy: The Aspiring Plebeian -- ; From Aesthetic to Rhetoric -- ; George Orwell : the politics of literary reputation ; Identification and Identity -- ; Introduction: Appraising Famous Men: Mediating Biography and Society -- ; Literary Studies and the Problem of Reputation -- ; Lives of Independence: The History of Orwell Biography -- ; Orwell into the Nineties -- ; Politics of literary reputation ; Reputation, Legacy, Historiography -- ; Terms of Repute: Conditions, Constraints -- ; The Common Man -- ; The Portrait Gallery -- ; The Prophet -- ; The Reading Experience and the Writer's Public Image -- ; The Rebel -- ; The Saint -- ; The Spectre of Der Grosse Bruder: West Germany's Orwell --","018502479","Monograph","Language material ; Text","Online resource","GBB7J0633","","9781351517652","Rodden, John","","person","","Rodden, John [person]","","","","","Routledge","2017","","1 online resource (510 pages)","828.91209","ELD.DS.176787","Kanon ; Canon (Literature) ; Rezeption ; Orwell, George, 1903-1950 ; Orwell, George, 1903-1950--Criticism and interpretation--History","Criticsm and interpretation ; History","English","",""
"And he loved big brother : man, state and society in question : contributions to the George Orwell colloquy, 1984: Myths and Realities, organised by the Council of Europe in collaboration with the European Foundation for Sciences, Arts and Culture, Strasbourg, 1984","","010054435","Monograph","Language material ; Text","Volume","GB8500356","","9780333387528","1984: Myths and Realities (Conference), Strasbourg, France","1984","meeting/conference","","European Foundation for Sciences, Arts, and Culture [organisation] ; Shoham, S. Giora, 1929- [person] ; 1984: Myths and Realities (Conference), Strasbourg, France, 1984 [meeting/conference] ; Council of Europe [organisation] ; Tamari, Anita [person] ; Rosenstiel, Francis [person]","","","England","London","Macmillan","1985","","lx, 197 pages, 23 cm","823.912","X.529/69396","Orwell, George, 1903-1950--Congresses ; Orwell, George, 1903-1950--Criticism and interpretation--Congresses ; Fiction in English--Orwell, George--Nineteen eighty-four--Predictions--expounded by--political events--1948-1984--Conference proceedings ; Civilization, Modern--1950---Congresses ; Dystopias in literature--Congresses","","English","Conference papers ; Includes index",""
"Animal Farm ... With introduction and notes by Laurence Brander","","002722652","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Brander, Laurence Robert Mean [person] ; Orwell, George, 1903-1950 [person]","Heritage of Literature. sect. B","number 45 [Heritage of Literature. sect. B]","England","London","Longmans","1960","","xxiii, 111 pages (8°)","","012208.cc.1/140","","","","",""
"Animal Farm ... With introduction and notes by Laurence Brander","","002722653","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Brander, Laurence Robert Mean [person] ; Orwell, George, 1903-1950 [person]","Heritage of Literature Series","","England","London","Longmans","1964","","121 pages (8°)","","012208.cc.1/196","","","","",""
"Animal Farm : A fairy story","","014318206","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Brander, Laurence [person]","Heritage of Literature series","","","","Longmans","1962","","","","X11/2664","","","English","",""
"Animal Farm : A fairy story","","014318207","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","","","Penguin","1974","","","","W77/1084","","","English","",""
"Animal Farm : a fairy story","","010096107","Monograph","Language material ; Text","Volume","GB9360639","","9780749317249","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","England","London","Compact","1993","","107 pages, 19 cm","823.912","Nov.1994/93","English fiction","","English","This edition originally published: London: Secker & Warburg, 1987",""
"Animal Farm classroom questions : a Scene By Scene teaching guide","","017697419","Monograph","Language material ; Text","Volume","GBB789886","","9781910949108","Farrell, Amy","","person","author ; teacher","Farrell, Amy, author ; teacher [person]","","","Ireland","Enniskerry","Scene By Scene","2015","","iii, 19 pages, 21 cm","823.912","YKL.2017.a.6241","English literature--Study and teaching (Secondary) ; Orwell, George, 1903-1950","","English","",""
"Animal Farm","","002722648","Monograph","Language material ; Text","Volume","","","","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","","","United States of America","New York","Harcourt, Brace","1946","","118 pages (8°)","","12655.tt.13 ; 12656.b.4","","","","",""
"Animal Farm","","010081277","Monograph","Language material ; Text","Volume","GB9106214","","9780582060104","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person] ; Millum, Trevor [person]","Longman literature","","England","Harlow","Longman","1991","","xvi, 112 pages, 20 cm","823.912","YK.1991.a.2711","English fiction","","English","Originally published: London : Secker & Warburg, 1945",""
"Animal Farm","","010697025","Monograph","Language material ; Text","Volume","GB9689279","","9780582275249","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Longman fiction","","England","Harlow","Longman","1996","","iii, 119 pages, 20 cm","823.912","H.97/330","Power (Social sciences)--Fiction ; Animals--Fiction","Reader","English","Originally published, Bridge series, 1954",""
"Animal Farm","","012701550","Monograph","Language material ; Text","Volume","GB9330497","","9781857151503","Orwell, George","1903-1950","person","","Orwell, George, 1903-1950 [person]","Everyman's library","150 [Everyman's library]","England","London","David Campbell","1993","","xliv, 113 pages, 21 cm","823.912","12206.P.1/1493","English fiction","","English","",""
"Animal Farm","Animal Farm. A fable in two acts. Adapted by Nelson Bond from the book by George Orwell","000405621","Monograph","Language material ; Text","Volume","","","","Bond, Nelson","","person","","Bond, Nelson [person] ; Orwell, George, 1903-1950 [person]","","","United States of America","New York","Samuel French","1964","","57 pages (8°)","","X.908/4425","","","","",""
"Animal Farm","Animal farm","018784378","Monograph","Language material ; Spoken word ; Text","Audio disc ; Computer disc ; Volume","GBB846054","","9781292243221","","","","","Orwell, George, 1903-1950 [person]","Pearson English graded readers. Level 6","","England","Harlow","Pearson","2018","","1 volume + 1 CD","428.64","","","Reader","English","Based on the original work by George Orwell ; MP3-CD",""
"Animal Farm","Companion to Animal farm","011810161","Monograph","Language material ; Text","Volume","GB8708475","","","Murray, Patrick","1935-","person","","Orwell, George, 1903-1950 [person] ; Murray, Patrick, 1935- [person]","","","Ireland","Dublin","Educational","1985","","64 pages, 21 cm","823.912","YC.1987.a.1366","Orwell, George, 1903-1950 ; Fiction in English--Orwell, George","","English","",""
